goos: linux
goarch: arm64
pkg: github.com/axiomhq/simd-go
BenchmarkSIMD/fn=MaxInt64/impl=Scalar/n=100           	31938046	        37.55 ns/op	21305.58 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=MaxInt64/impl=Scalar/n=100           	31923724	        37.55 ns/op	21306.58 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=MaxInt64/impl=Scalar/n=100           	31936102	        37.55 ns/op	21307.57 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=MaxInt64/impl=Scalar/n=100           	31931822	        37.54 ns/op	21307.83 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=MaxInt64/impl=Scalar/n=100           	31944519	        37.55 ns/op	21307.76 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=MaxInt64/impl=NEON/n=100             	50794552	        23.64 ns/op	33842.20 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=MaxInt64/impl=NEON/n=100             	50748063	        23.64 ns/op	33837.23 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=MaxInt64/impl=NEON/n=100             	50722713	        23.64 ns/op	33839.41 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=MaxInt64/impl=NEON/n=100             	50757337	        23.64 ns/op	33840.69 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=MaxInt64/impl=NEON/n=100             	50729935	        23.64 ns/op	33841.78 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=MaxInt64/impl=NEON/n=100             	50777172	        23.64 ns/op	33834.14 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=MaxInt64/impl=SVE/n=100              	75491263	        15.90 ns/op	50314.37 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=MaxInt64/impl=SVE/n=100              	74156552	        16.07 ns/op	49769.82 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=MaxInt64/impl=SVE/n=100              	74608198	        16.09 ns/op	49711.91 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=MaxInt64/impl=SVE/n=100              	74248708	        16.16 ns/op	49500.06 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=MaxInt64/impl=SVE/n=100              	74229602	        16.10 ns/op	49703.55 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=MaxInt64/impl=SVE/n=100              	74653008	        16.07 ns/op	49788.76 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=DotProductInt64/impl=Scalar/n=100    	31939342	        37.55 ns/op	42612.17 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=DotProductInt64/impl=Scalar/n=100    	31949721	        37.55 ns/op	42609.88 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=DotProductInt64/impl=Scalar/n=100    	31937620	        37.55 ns/op	42614.74 MB/s	       0 B/op	       0 allocs/op
